loan_id,customer_id,industry,loan_amount,overdue_days,risk_class,report_date
LN00054,C7015,交通运输,3733.64,0,正常,2025-08-29
LN00055,C5555,制造业,2568.63,0,正常,2025-08-10
LN00056,C4436,餐饮住宿,2459.37,0,正常,2025-08-24
LN00057,C5893,房地产,3243.26,0,正常,2025-08-17
LN00058,C8996,制造业,2521.01,0,正常,2025-08-28
LN00059,C8679,房地产,926.7,5,关注,2025-08-04
LN00060,C4444,餐饮住宿,4423.3,90,次级,2025-08-04
LN00061,C4420,制造业,2169.51,90,次级,2025-08-11
LN00062,C1190,房地产,1563.2,180,可疑,2025-08-09
LN00063,C9319,制造业,1894.8,0,正常,2025-08-22
LN00064,C2895,餐饮住宿,398.56,0,正常,2025-08-14
LN00065,C8806,餐饮住宿,2615.73,0,正常,2025-08-30
LN00066,C9096,批发零售,726.28,0,正常,2025-08-10
LN00067,C1537,交通运输,4060.06,0,正常,2025-08-07
LN00068,C3950,交通运输,2532.51,0,正常,2025-08-19
LN00069,C7655,建筑业,2014.08,0,正常,2025-08-18
LN00070,C6919,建筑业,2912.49,15,关注,2025-08-10
LN00071,C1574,房地产,4910.11,0,正常,2025-08-10
LN00072,C5777,批发零售,4121.87,15,关注,2025-08-10
LN00073,C4124,房地产,1394.14,0,正常,2025-08-20
LN00074,C5869,交通运输,305.82,0,正常,2025-08-12
LN00075,C7966,餐饮住宿,734.85,0,正常,2025-08-16
LN00076,C2693,交通运输,253.28,90,次级,2025-08-08
LN00077,C9932,房地产,962.45,0,正常,2025-08-02
LN00078,C2664,制造业,907.81,0,正常,2025-08-31
LN00079,C6237,批发零售,3587.25,0,正常,2025-08-24
LN00080,C4343,交通运输,2607.65,0,正常,2025-08-27
LN00081,C9130,餐饮住宿,1276.27,0,正常,2025-08-16
LN00082,C3744,房地产,1742.3,5,关注,2025-08-04
LN00083,C3141,交通运输,4284.53,0,正常,2025-08-12
LN00084,C7617,交通运输,2483.5,0,正常,2025-08-25
LN00085,C5452,建筑业,2022.6,0,正常,2025-08-22
LN00086,C3849,餐饮住宿,1341.42,0,正常,2025-08-22
LN00087,C5611,批发零售,3098.46,45,次级,2025-08-16
LN00088,C7303,批发零售,4704.14,0,正常,2025-08-08
LN00089,C3427,建筑业,686.08,0,正常,2025-08-03
LN00090,C6387,房地产,1961.21,5,关注,2025-08-31
LN00091,C5380,批发零售,393.34,0,正常,2025-08-18
LN00092,C9945,批发零售,3430.88,0,正常,2025-08-15
LN00093,C1417,批发零售,1340.44,0,正常,2025-08-25
LN00094,C6745,建筑业,3163.27,0,正常,2025-08-03
LN00095,C8164,建筑业,1446.07,0,正常,2025-08-22
LN00096,C3786,交通运输,4953.0,5,关注,2025-08-16
LN00097,C3143,建筑业,1736.98,0,正常,2025-08-02
LN00098,C4766,交通运输,3766.81,0,正常,2025-08-07
LN00099,C9787,房地产,4140.96,0,正常,2025-08-10
LN00100,C1395,交通运输,4794.78,15,关注,2025-08-13
LN00101,C1717,建筑业,3400.01,0,正常,2025-08-12
LN00102,C9335,房地产,2269.81,0,正常,2025-08-29
LN00103,C6588,建筑业,3774.25,0,正常,2025-08-09
LN00104,C8860,制造业,2497.38,0,正常,2025-08-25
LN00105,C8330,餐饮住宿,4444.14,0,正常,2025-08-21
LN00106,C7731,房地产,3455.75,0,正常,2025-08-06
LN00107,C2542,建筑业,2159.15,15,关注,2025-08-24
LN00108,C7938,批发零售,3545.9,0,正常,2025-08-27
LN00109,C2365,交通运输,4073.36,0,正常,2025-08-25
LN00110,C4141,制造业,3555.5,0,正常,2025-08-13
LN00111,C5186,交通运输,1281.18,0,正常,2025-08-13
LN00112,C5748,餐饮住宿,2055.75,0,正常,2025-08-02
LN00113,C9647,批发零售,631.75,0,正常,2025-08-23
LN00114,C1504,制造业,1905.61,0,正常,2025-08-15
LN00115,C6029,制造业,2209.86,15,关注,2025-08-06
LN00116,C7316,建筑业,263.64,90,次级,2025-08-11
LN00117,C6348,餐饮住宿,1302.3,45,次级,2025-08-13
LN00118,C7190,建筑业,3165.52,0,正常,2025-08-18
LN00119,C9053,制造业,1951.8,0,正常,2025-08-09
LN00120,C2353,制造业,4754.54,45,次级,2025-08-24
LN00121,C1667,餐饮住宿,1711.52,0,正常,2025-08-06
LN00122,C4719,建筑业,1799.09,0,正常,2025-08-14
LN00123,C5835,建筑业,4931.74,0,正常,2025-08-10
LN00124,C7132,制造业,4078.29,0,正常,2025-08-04
LN00125,C8714,交通运输,4121.56,0,正常,2025-08-14
LN00126,C2838,房地产,4599.92,0,正常,2025-08-22
LN00127,C6124,餐饮住宿,180.52,15,关注,2025-08-31
LN00128,C9415,餐饮住宿,4927.17,5,关注,2025-08-21
LN00129,C4925,交通运输,4154.36,0,正常,2025-08-15
LN00130,C8266,交通运输,712.57,0,正常,2025-08-11
LN00131,C6989,餐饮住宿,4570.17,0,正常,2025-08-09
LN00132,C5809,交通运输,4255.75,0,正常,2025-08-15
LN00133,C6997,交通运输,1294.64,0,正常,2025-08-19
LN00134,C5544,交通运输,3374.92,0,正常,2025-08-30
LN00135,C1249,建筑业,2625.52,0,正常,2025-08-10
LN00136,C5363,房地产,4091.11,0,正常,2025-08-20
LN00137,C5858,交通运输,2047.24,0,正常,2025-08-16
LN00138,C5673,交通运输,4034.97,0,正常,2025-08-25
LN00139,C7881,餐饮住宿,1785.41,0,正常,2025-08-30
LN00140,C8002,批发零售,500.46,0,正常,2025-08-30
LN00141,C8648,建筑业,3929.08,0,正常,2025-08-04
LN00142,C8730,餐饮住宿,3503.33,0,正常,2025-08-03
LN00143,C4472,建筑业,2485.98,0,正常,2025-08-04
LN00144,C8941,建筑业,2488.46,0,正常,2025-08-19
LN00145,C2906,餐饮住宿,2709.45,0,正常,2025-08-09
LN00146,C8687,房地产,941.33,0,正常,2025-08-28
LN00147,C4266,制造业,2600.42,15,关注,2025-08-14
LN00148,C8570,交通运输,4117.86,0,正常,2025-08-14
LN00149,C7677,建筑业,489.08,0,正常,2025-08-31
LN00150,C3393,交通运输,4476.38,0,正常,2025-08-15
LN00151,C8240,餐饮住宿,506.84,0,正常,2025-08-17
LN00152,C7493,制造业,827.04,0,正常,2025-08-16
LN00153,C2276,交通运输,4931.97,0,正常,2025-08-17
LN00154,C9150,餐饮住宿,2679.77,0,正常,2025-08-30
LN00155,C6126,交通运输,3451.47,0,正常,2025-08-09
LN00156,C2531,餐饮住宿,580.5,0,正常,2025-08-06
LN00157,C4086,餐饮住宿,569.1,0,正常,2025-08-09
LN00158,C2062,交通运输,1644.29,0,正常,2025-08-25
LN00159,C5632,餐饮住宿,4458.11,0,正常,2025-08-12
LN00160,C9258,制造业,3261.67,0,正常,2025-08-14
LN00161,C8943,建筑业,2953.35,0,正常,2025-08-20
LN00162,C3739,房地产,3247.29,0,正常,2025-08-30
LN00163,C1876,房地产,1685.22,0,正常,2025-08-07
LN00164,C2733,制造业,1858.52,0,正常,2025-08-16
LN00165,C4517,建筑业,1461.22,15,关注,2025-08-08
LN00166,C9434,制造业,140.3,0,正常,2025-08-27
LN00167,C1005,建筑业,2019.39,180,可疑,2025-08-04
LN00168,C9837,房地产,4876.58,15,关注,2025-08-02
LN00169,C6560,餐饮住宿,3606.36,0,正常,2025-08-21
LN00170,C7469,批发零售,4841.57,0,正常,2025-08-28
LN00171,C5208,房地产,2672.71,0,正常,2025-08-31
LN00172,C2828,批发零售,2555.21,5,关注,2025-08-28
LN00173,C4744,交通运输,1877.69,0,正常,2025-08-08
LN00174,C3219,批发零售,1048.57,0,正常,2025-08-24
LN00175,C2342,批发零售,3423.44,0,正常,2025-08-15
LN00176,C4490,制造业,1776.9,0,正常,2025-08-15
LN00177,C1235,交通运输,2072.17,15,关注,2025-08-11
LN00178,C3635,房地产,1927.18,45,次级,2025-08-31
LN00179,C6468,餐饮住宿,741.87,0,正常,2025-08-23
LN00180,C7941,交通运输,4134.41,0,正常,2025-08-27
LN00181,C1077,交通运输,2639.17,0,正常,2025-08-28
LN00182,C3136,制造业,3430.76,15,关注,2025-08-24
LN00183,C8804,餐饮住宿,1541.82,15,关注,2025-08-09
LN00184,C2248,制造业,1987.84,0,正常,2025-08-30
LN00185,C5018,餐饮住宿,2737.1,0,正常,2025-08-26
LN00186,C2202,餐饮住宿,1707.78,0,正常,2025-08-12
LN00187,C9669,交通运输,4474.77,0,正常,2025-08-28
LN00188,C2120,交通运输,3549.55,0,正常,2025-08-05
LN00189,C3645,制造业,3584.62,0,正常,2025-08-27
LN00190,C7028,房地产,597.63,5,关注,2025-08-28
LN00191,C8863,交通运输,2536.33,0,正常,2025-08-24
LN00192,C3371,交通运输,3625.15,0,正常,2025-08-30
LN00193,C7898,房地产,2849.27,0,正常,2025-08-06
LN00194,C6779,房地产,948.91,0,正常,2025-08-22
LN00195,C7166,餐饮住宿,2336.93,0,正常,2025-08-18
LN00196,C8783,房地产,2554.15,0,正常,2025-08-07
LN00197,C1827,制造业,2985.17,0,正常,2025-08-20
LN00198,C4876,建筑业,3550.83,45,次级,2025-08-22
LN00199,C7024,制造业,2149.45,0,正常,2025-08-03
LN00200,C4797,餐饮住宿,4557.9,45,次级,2025-08-31
LN00201,C4417,餐饮住宿,4202.55,0,正常,2025-08-10
LN00202,C5021,制造业,2618.25,0,正常,2025-08-24
LN00203,C9393,交通运输,4024.12,0,正常,2025-08-11
LN00204,C9766,批发零售,2101.8,0,正常,2025-08-06
LN00205,C9070,房地产,1767.42,45,次级,2025-08-30
LN00206,C5971,房地产,4568.11,0,正常,2025-08-10
LN00207,C4572,制造业,4578.49,0,正常,2025-08-15
LN00208,C5757,交通运输,1139.48,0,正常,2025-08-14
LN00209,C5944,交通运输,4807.3,0,正常,2025-08-15
LN00210,C6182,建筑业,4984.53,0,正常,2025-08-15
LN00211,C3482,制造业,1089.03,0,正常,2025-08-13
LN00212,C5524,餐饮住宿,1919.74,0,正常,2025-08-16
LN00213,C6490,房地产,2293.78,0,正常,2025-08-30
LN00214,C6797,餐饮住宿,3838.51,0,正常,2025-08-28
LN00215,C9038,制造业,3778.57,0,正常,2025-08-22
LN00216,C7305,批发零售,2073.23,15,关注,2025-08-09
LN00217,C4462,建筑业,3311.67,15,关注,2025-08-31
LN00218,C9519,制造业,565.34,0,正常,2025-08-17
LN00219,C8776,交通运输,2805.77,0,正常,2025-08-24
LN00220,C6207,批发零售,3625.22,5,关注,2025-08-08
LN00221,C5547,餐饮住宿,4724.83,15,关注,2025-08-10
LN00222,C1822,交通运输,4486.86,0,正常,2025-08-25
LN00223,C3198,批发零售,4248.23,0,正常,2025-08-16
LN00224,C2308,交通运输,2136.05,15,关注,2025-08-30
LN00225,C7035,制造业,1712.54,5,关注,2025-08-30
LN00226,C5491,房地产,4161.74,0,正常,2025-08-27
LN00227,C8083,餐饮住宿,1136.58,5,关注,2025-08-06
LN00228,C3679,餐饮住宿,4927.57,5,关注,2025-08-09
LN00229,C3573,制造业,3721.35,0,正常,2025-08-30
LN00230,C8368,交通运输,739.81,0,正常,2025-08-21
LN00231,C9633,餐饮住宿,4507.83,180,可疑,2025-08-30
LN00232,C6475,交通运输,2515.55,0,正常,2025-08-30
LN00233,C8141,制造业,4157.22,0,正常,2025-08-09
LN00234,C3074,交通运输,4505.09,0,正常,2025-08-26
LN00235,C7136,房地产,2496.66,0,正常,2025-08-22
LN00236,C4028,交通运输,1946.54,15,关注,2025-08-06
LN00237,C4067,餐饮住宿,4795.2,0,正常,2025-08-31
LN00238,C6490,房地产,1264.48,0,正常,2025-08-11
LN00239,C8679,房地产,4581.79,0,正常,2025-08-05
LN00240,C5150,房地产,3335.17,45,次级,2025-08-10
LN00241,C6408,餐饮住宿,1386.06,0,正常,2025-08-17
LN00242,C8101,建筑业,4778.42,0,正常,2025-08-21
LN00243,C8617,批发零售,577.66,0,正常,2025-08-23
LN00244,C1060,制造业,3457.59,0,正常,2025-08-22
LN00245,C2252,制造业,61.58,0,正常,2025-08-13
LN00246,C7667,餐饮住宿,1836.82,0,正常,2025-08-20
LN00247,C4004,房地产,3960.57,45,次级,2025-08-07
LN00248,C2341,制造业,4792.95,0,正常,2025-08-13
LN00249,C6604,交通运输,3476.77,5,关注,2025-08-26
LN00250,C6387,制造业,1144.99,45,次级,2025-08-06
LN00251,C9238,制造业,268.62,45,次级,2025-08-16
LN00252,C8124,制造业,2392.39,0,正常,2025-08-25
LN00253,C8686,餐饮住宿,1521.88,0,正常,2025-08-16
LN00254,C2500,批发零售,2397.36,0,正常,2025-08-02
LN00255,C5497,建筑业,2636.05,15,关注,2025-08-25
LN00256,C4223,制造业,1188.54,0,正常,2025-08-04
LN00257,C3983,交通运输,2233.11,0,正常,2025-08-09
LN00258,C7640,建筑业,2715.09,0,正常,2025-08-10
LN00259,C9684,制造业,3098.52,0,正常,2025-08-02
LN00260,C4241,批发零售,4952.19,0,正常,2025-08-05
LN00261,C4810,交通运输,396.65,0,正常,2025-08-18
LN00262,C3032,建筑业,2039.56,0,正常,2025-08-11
LN00263,C4511,建筑业,1394.85,0,正常,2025-08-07
LN00264,C9190,批发零售,2135.72,0,正常,2025-08-27
LN00265,C3050,制造业,2363.19,0,正常,2025-08-08
LN00266,C1145,餐饮住宿,1206.36,15,关注,2025-08-07
LN00267,C3632,制造业,591.86,45,次级,2025-08-07
LN00268,C2828,建筑业,3942.41,0,正常,2025-08-21
LN00269,C8486,建筑业,4726.42,0,正常,2025-08-21
LN00270,C8878,餐饮住宿,4956.28,0,正常,2025-08-05
LN00271,C6429,建筑业,3058.3,15,关注,2025-08-19
LN00272,C1824,餐饮住宿,1141.41,0,正常,2025-08-15
LN00273,C4845,批发零售,4013.81,5,关注,2025-08-10
LN00274,C2913,制造业,2648.91,0,正常,2025-08-05
LN00275,C8312,批发零售,811.78,0,正常,2025-08-29
LN00276,C1892,餐饮住宿,2708.02,0,正常,2025-08-23
LN00277,C2290,建筑业,4393.43,0,正常,2025-08-29
LN00278,C2218,房地产,4780.47,0,正常,2025-08-20
LN00279,C1954,批发零售,1442.89,5,关注,2025-08-04
LN00280,C4972,餐饮住宿,291.48,0,正常,2025-08-14
LN00281,C4020,餐饮住宿,4477.68,90,次级,2025-08-19
LN00282,C1317,制造业,2982.42,0,正常,2025-08-06
LN00283,C7183,房地产,2850.37,0,正常,2025-08-19
LN00284,C8314,制造业,4347.4,15,关注,2025-08-04
LN00285,C2704,制造业,1703.34,0,正常,2025-08-19
LN00286,C5286,制造业,3510.0,45,次级,2025-08-04
LN00287,C3808,交通运输,194.77,15,关注,2025-08-09
LN00288,C7506,批发零售,1181.69,0,正常,2025-08-25
LN00289,C9780,批发零售,2561.97,5,关注,2025-08-25
LN00290,C2136,批发零售,2821.23,0,正常,2025-08-24
LN00291,C2007,批发零售,579.55,0,正常,2025-08-02
LN00292,C2435,批发零售,3181.48,0,正常,2025-08-02
LN00293,C8059,交通运输,3455.03,0,正常,2025-08-14
LN00294,C2040,建筑业,3866.37,0,正常,2025-08-15
LN00295,C9213,批发零售,3123.53,0,正常,2025-08-05
LN00296,C5799,批发零售,3396.46,15,关注,2025-08-20
LN00297,C6043,建筑业,3803.4,0,正常,2025-08-25
LN00298,C8813,交通运输,1890.58,0,正常,2025-08-13
LN00299,C4356,房地产,4724.3,0,正常,2025-08-29
LN00300,C4342,交通运输,3984.31,15,关注,2025-08-03
LN00301,C4155,房地产,3289.83,0,正常,2025-08-05
LN00302,C1988,房地产,4720.9,90,次级,2025-08-16
LN00303,C2682,交通运输,1407.37,0,正常,2025-08-29
LN00304,C1933,房地产,1188.28,0,正常,2025-08-03
LN00305,C9984,房地产,3588.87,0,正常,2025-08-14
LN00306,C2607,建筑业,838.27,0,正常,2025-08-07
LN00307,C9711,制造业,3866.06,0,正常,2025-08-18
LN00308,C1959,批发零售,1506.13,5,关注,2025-08-08
LN00309,C8725,建筑业,2337.38,90,次级,2025-08-02
LN00310,C2875,餐饮住宿,2180.01,0,正常,2025-08-26
LN00311,C6109,制造业,1663.33,0,正常,2025-08-30
LN00312,C5167,房地产,2349.76,180,可疑,2025-08-02
LN00313,C9357,批发零售,1493.73,0,正常,2025-08-19
LN00314,C5197,制造业,4543.7,15,关注,2025-08-21
LN00315,C7731,餐饮住宿,4933.98,0,正常,2025-08-17
LN00316,C3720,餐饮住宿,2820.26,0,正常,2025-08-14
LN00317,C7368,建筑业,484.94,0,正常,2025-08-19
LN00318,C8833,餐饮住宿,2014.77,0,正常,2025-08-30
LN00319,C2709,餐饮住宿,3481.31,0,正常,2025-08-17
LN00320,C9619,批发零售,567.61,0,正常,2025-08-21
LN00321,C2925,交通运输,2994.14,0,正常,2025-08-23
LN00322,C6383,制造业,4739.38,0,正常,2025-08-04
LN00323,C9442,餐饮住宿,2447.77,5,关注,2025-08-21
LN00324,C1021,建筑业,2288.98,0,正常,2025-08-29
LN00325,C5109,制造业,454.07,0,正常,2025-08-10
LN00326,C2560,建筑业,4365.33,0,正常,2025-08-06
LN00327,C4427,房地产,3734.18,90,次级,2025-08-03
LN00328,C1306,交通运输,850.28,0,正常,2025-08-26
LN00329,C5644,批发零售,4981.85,0,正常,2025-08-23
LN00330,C9946,房地产,3417.13,0,正常,2025-08-03
LN00331,C1352,餐饮住宿,4210.24,0,正常,2025-08-15
LN00332,C1956,餐饮住宿,4238.91,90,次级,2025-08-27
LN00333,C4453,建筑业,4938.87,0,正常,2025-08-08
LN00334,C5703,批发零售,2960.89,15,关注,2025-08-06
LN00335,C2394,交通运输,1455.08,0,正常,2025-08-03
LN00336,C1529,建筑业,3176.22,0,正常,2025-08-17
LN00337,C4591,制造业,2056.29,0,正常,2025-08-02
LN00338,C7477,批发零售,2587.45,0,正常,2025-08-27
LN00339,C5648,交通运输,1273.79,0,正常,2025-08-04
LN00340,C5599,交通运输,2918.1,0,正常,2025-08-12
LN00341,C4216,批发零售,1985.85,0,正常,2025-08-07
LN00342,C5356,建筑业,1659.69,0,正常,2025-08-24
LN00343,C8062,建筑业,2296.26,0,正常,2025-08-21
LN00344,C1269,批发零售,1687.9,0,正常,2025-08-03
LN00345,C4432,批发零售,2182.89,0,正常,2025-08-12
LN00346,C1575,房地产,1828.29,45,次级,2025-08-04
LN00347,C3734,制造业,3335.83,0,正常,2025-08-27
LN00348,C3203,制造业,4327.87,15,关注,2025-08-26
LN00349,C2939,建筑业,1385.26,0,正常,2025-08-30
LN00350,C1281,制造业,244.75,0,正常,2025-08-09
LN00351,C6178,房地产,1614.97,0,正常,2025-08-15
LN00352,C5585,房地产,2017.03,0,正常,2025-08-14
LN00353,C8473,房地产,4866.83,0,正常,2025-08-25
LN00354,C8595,房地产,2684.61,0,正常,2025-08-09
LN00355,C2969,餐饮住宿,1049.17,0,正常,2025-08-09
LN00356,C7812,批发零售,2246.56,0,正常,2025-08-27
LN00357,C6238,餐饮住宿,4725.84,0,正常,2025-08-22
LN00358,C8705,餐饮住宿,4351.08,0,正常,2025-08-24
LN00359,C5440,制造业,3463.16,0,正常,2025-08-31
LN00360,C4124,制造业,3351.51,0,正常,2025-08-23
LN00361,C5033,批发零售,4997.1,0,正常,2025-08-26
LN00362,C6208,制造业,4360.23,15,关注,2025-08-23
LN00363,C1488,交通运输,590.09,0,正常,2025-08-30
LN00364,C2667,交通运输,3354.59,5,关注,2025-08-26
LN00365,C2000,批发零售,1620.12,5,关注,2025-08-19
LN00366,C9189,房地产,2745.22,0,正常,2025-08-07
LN00367,C5806,交通运输,2839.02,0,正常,2025-08-13
LN00368,C2440,建筑业,1225.84,0,正常,2025-08-15
LN00369,C8010,房地产,883.8,0,正常,2025-08-18
LN00370,C7228,批发零售,4323.5,5,关注,2025-08-16
LN00371,C2177,批发零售,589.15,0,正常,2025-08-27
LN00372,C9234,批发零售,3836.17,0,正常,2025-08-26
LN00373,C7570,餐饮住宿,140.25,0,正常,2025-08-09
LN00374,C6243,房地产,4775.57,0,正常,2025-08-28
LN00375,C1140,房地产,1790.53,0,正常,2025-08-30
LN00376,C8151,餐饮住宿,2639.27,0,正常,2025-08-18
LN00377,C8311,房地产,493.65,45,次级,2025-08-02
LN00378,C7787,批发零售,4124.71,0,正常,2025-08-02
LN00379,C8052,房地产,963.7,0,正常,2025-08-08
LN00380,C7441,制造业,4592.87,0,正常,2025-08-12
LN00381,C6291,建筑业,264.89,0,正常,2025-08-22
LN00382,C8285,房地产,2600.12,0,正常,2025-08-04
LN00383,C1009,制造业,915.13,5,关注,2025-08-07
LN00384,C7295,交通运输,1799.44,45,次级,2025-08-06
LN00385,C7807,房地产,4121.94,5,关注,2025-08-04
LN00386,C6010,批发零售,3138.1,5,关注,2025-08-31
LN00387,C1482,批发零售,4352.84,0,正常,2025-08-31
LN00388,C3852,交通运输,3227.76,0,正常,2025-08-04
LN00389,C2100,房地产,2992.66,0,正常,2025-08-02
LN00390,C5358,制造业,3490.97,180,可疑,2025-08-29
LN00391,C7602,批发零售,4956.72,0,正常,2025-08-04
LN00392,C2241,餐饮住宿,1719.27,0,正常,2025-08-25
LN00393,C8843,交通运输,999.74,0,正常,2025-08-24
LN00394,C3472,制造业,3104.92,0,正常,2025-08-19
LN00395,C6051,制造业,4011.76,15,关注,2025-08-05
LN00396,C2735,交通运输,3271.84,0,正常,2025-08-10
LN00397,C8426,建筑业,992.11,0,正常,2025-08-30
LN00398,C4874,建筑业,3666.72,0,正常,2025-08-02
LN00399,C4374,建筑业,1044.62,0,正常,2025-08-16
LN00400,C1632,批发零售,4117.94,0,正常,2025-08-20
LN00401,C4719,制造业,3987.48,0,正常,2025-08-16
LN00402,C5443,餐饮住宿,4872.11,0,正常,2025-08-10
LN00403,C9555,交通运输,1256.1,0,正常,2025-08-02
LN00404,C7549,交通运输,491.17,0,正常,2025-08-25
LN00405,C3785,制造业,362.39,0,正常,2025-08-28
LN00406,C3408,制造业,483.83,0,正常,2025-08-05
LN00407,C6962,制造业,4135.17,0,正常,2025-08-02
LN00408,C5406,批发零售,850.73,0,正常,2025-08-10
LN00409,C6435,房地产,4264.55,0,正常,2025-08-22
LN00410,C9785,建筑业,3158.35,45,次级,2025-08-02
LN00411,C9325,批发零售,749.33,15,关注,2025-08-25
LN00412,C8842,建筑业,908.95,5,关注,2025-08-30
LN00413,C6907,房地产,2886.56,0,正常,2025-08-22
LN00414,C5259,制造业,3051.54,0,正常,2025-08-31
LN00415,C9429,餐饮住宿,915.45,15,关注,2025-08-29
LN00416,C2048,房地产,3348.22,0,正常,2025-08-30
LN00417,C1536,交通运输,1201.13,0,正常,2025-08-19
LN00418,C9734,建筑业,2555.4,5,关注,2025-08-14
LN00419,C3719,交通运输,1119.39,0,正常,2025-08-02
LN00420,C7610,批发零售,1962.98,0,正常,2025-08-27
LN00421,C7488,房地产,337.91,0,正常,2025-08-21
LN00422,C6175,批发零售,1521.91,0,正常,2025-08-09
LN00423,C6448,房地产,3924.35,0,正常,2025-08-18
LN00424,C9591,房地产,358.34,0,正常,2025-08-28
LN00425,C7928,建筑业,1201.6,180,可疑,2025-08-04
LN00426,C1419,建筑业,2658.86,0,正常,2025-08-25
LN00427,C8870,批发零售,2276.43,0,正常,2025-08-03
LN00428,C2549,房地产,925.59,0,正常,2025-08-03
LN00429,C5481,餐饮住宿,712.33,90,次级,2025-08-11
LN00430,C7793,餐饮住宿,3420.83,5,关注,2025-08-08
LN00431,C7356,交通运输,4179.8,0,正常,2025-08-19
LN00432,C5268,交通运输,261.03,0,正常,2025-08-15
LN00433,C5798,房地产,2521.7,0,正常,2025-08-09
LN00434,C6827,交通运输,4330.07,0,正常,2025-08-16
LN00435,C8394,建筑业,1910.65,0,正常,2025-08-12
LN00436,C7164,交通运输,4783.3,0,正常,2025-08-15
LN00437,C4191,制造业,1611.26,0,正常,2025-08-31
LN00438,C7172,批发零售,1432.87,0,正常,2025-08-14
LN00439,C3279,批发零售,2334.31,0,正常,2025-08-21
LN00440,C7869,批发零售,3201.51,0,正常,2025-08-17
LN00441,C8340,制造业,793.34,0,正常,2025-08-20
LN00442,C5940,制造业,238.21,0,正常,2025-08-09
LN00443,C9599,房地产,571.57,0,正常,2025-08-15
LN00444,C1365,交通运输,4958.36,0,正常,2025-08-12
LN00445,C9754,房地产,911.84,0,正常,2025-08-27
LN00446,C6439,交通运输,2150.27,0,正常,2025-08-17
LN00447,C4839,建筑业,1177.82,15,关注,2025-08-23
LN00448,C2827,批发零售,3094.31,0,正常,2025-08-18
LN00449,C9569,制造业,2417.36,0,正常,2025-08-14
